adapter_class,baseline_stable,candidate_id,expected_runtime_requests,finding_state,ground_truth_used_phase,request_count,schema_version,sequence,server_error_observed,status,true_false_difference_reproducible,ground_truth,original_case_id,classification
form,True,os15-c000003,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,1,False,completed,True,vulnerable,BenchmarkTest00024,TP
multi_query,True,os15-c000005,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,2,False,completed,True,vulnerable,BenchmarkTest00026,TP
multi_form,True,os15-c000008,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,3,False,completed,True,vulnerable,BenchmarkTest00033,TP
multi_form,True,os15-c000010,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,4,False,completed,False,vulnerable,BenchmarkTest00037,FN
cookie,True,os15-c000015,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,5,False,completed,False,vulnerable,BenchmarkTest00100,FN
cookie,True,os15-c000016,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,6,False,completed,False,vulnerable,BenchmarkTest00101,FN
cookie,True,os15-c000020,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,7,False,completed,False,non_vulnerable,BenchmarkTest00105,TN
cookie,True,os15-c000021,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,8,False,completed,False,vulnerable,BenchmarkTest00106,FN
cookie,True,os15-c000023,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,9,False,completed,False,vulnerable,BenchmarkTest00108,FN
cookie,True,os15-c000024,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,10,False,completed,False,vulnerable,BenchmarkTest00109,FN
cookie,True,os15-c000025,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,11,False,completed,False,non_vulnerable,BenchmarkTest00110,TN
header,True,os15-c000034,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,12,False,completed,True,vulnerable,BenchmarkTest00193,TP
header,True,os15-c000051,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,13,False,completed,False,non_vulnerable,BenchmarkTest00331,TN
header,True,os15-c000052,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,14,False,completed,False,non_vulnerable,BenchmarkTest00332,TN
header,True,os15-c000053,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,15,False,completed,False,non_vulnerable,BenchmarkTest00333,TN
header,True,os15-c000054,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,16,False,completed,False,non_vulnerable,BenchmarkTest00334,TN
header,True,os15-c000055,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,17,False,completed,True,vulnerable,BenchmarkTest00335,TP
header,True,os15-c000059,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,18,False,completed,True,vulnerable,BenchmarkTest00339,TP
header,True,os15-c000062,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,19,False,completed,True,vulnerable,BenchmarkTest00342,TP
header,True,os15-c000063,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,20,False,completed,False,non_vulnerable,BenchmarkTest00343,TN
header,True,os15-c000064,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,21,False,completed,False,non_vulnerable,BenchmarkTest00344,TN
multi_form,True,os15-c000065,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,22,False,completed,True,vulnerable,BenchmarkTest00428,TP
multi_form,True,os15-c000066,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,23,False,completed,True,vulnerable,BenchmarkTest00429,TP
form,True,os15-c000067,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,24,False,completed,False,non_vulnerable,BenchmarkTest00430,TN
form,True,os15-c000072,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,25,False,completed,True,vulnerable,BenchmarkTest00435,TP
form,True,os15-c000073,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,26,False,completed,False,non_vulnerable,BenchmarkTest00436,TN
multi_query,True,os15-c000074,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,27,False,completed,False,non_vulnerable,BenchmarkTest00437,TN
multi_form,True,os15-c000075,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,28,False,completed,True,vulnerable,BenchmarkTest00438,TP
multi_form,True,os15-c000076,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,29,False,completed,True,vulnerable,BenchmarkTest00439,TP
multi_query,True,os15-c000082,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,30,False,completed,True,vulnerable,BenchmarkTest00512,TP
multi_form,True,os15-c000083,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,31,False,completed,False,non_vulnerable,BenchmarkTest00513,TN
multi_form,True,os15-c000084,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,32,False,completed,False,non_vulnerable,BenchmarkTest00514,TN
form,True,os15-c000085,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,33,False,completed,True,vulnerable,BenchmarkTest00515,TP
form,True,os15-c000086,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,34,False,completed,True,vulnerable,BenchmarkTest00516,TP
multi_query,True,os15-c000087,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,35,False,completed,False,non_vulnerable,BenchmarkTest00517,TN
multi_form,True,os15-c000092,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,36,False,completed,False,vulnerable,BenchmarkTest00591,FN
multi_form,True,os15-c000093,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,37,False,completed,False,non_vulnerable,BenchmarkTest00592,TN
multi_form,True,os15-c000094,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,38,False,completed,False,vulnerable,BenchmarkTest00593,FN
multi_form,True,os15-c000095,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,39,False,completed,False,vulnerable,BenchmarkTest00594,FN
multi_form,True,os15-c000096,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,40,False,completed,False,vulnerable,BenchmarkTest00595,FN
multi_form,True,os15-c000103,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,41,False,completed,False,non_vulnerable,BenchmarkTest00602,TN
multi_form,True,os15-c000105,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,42,False,completed,False,vulnerable,BenchmarkTest00604,FN
form,True,os15-c000109,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,43,False,completed,True,vulnerable,BenchmarkTest00673,TP
multi_query,True,os15-c000110,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,44,False,completed,False,non_vulnerable,BenchmarkTest00674,TN
multi_form,True,os15-c000111,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,45,False,completed,False,non_vulnerable,BenchmarkTest00675,TN
multi_form,True,os15-c000112,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,46,False,completed,False,non_vulnerable,BenchmarkTest00676,TN
multi_form,True,os15-c000116,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,47,False,completed,False,non_vulnerable,BenchmarkTest00680,TN
multi_form,True,os15-c000117,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,48,False,completed,True,vulnerable,BenchmarkTest00681,TP
form,True,os15-c000122,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,49,False,completed,False,non_vulnerable,BenchmarkTest00763,TN
multi_form,True,os15-c000129,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,50,False,completed,True,vulnerable,BenchmarkTest00770,TP
multi_form,True,os15-c000130,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,51,False,completed,True,vulnerable,BenchmarkTest00771,TP
form,True,os15-c000131,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,52,False,completed,False,non_vulnerable,BenchmarkTest00772,TN
multi_query,True,os15-c000135,6,inconclusive,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,53,False,completed,False,non_vulnerable,BenchmarkTest00838,TN
multi_query,True,os15-c000136,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,54,False,completed,True,vulnerable,BenchmarkTest00839,TP
multi_query,True,os15-c000142,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,55,False,completed,True,vulnerable,BenchmarkTest00845,TP
multi_query,True,os15-c000145,6,verified,not_loaded_during_runtime_execution,6,owasp-sqli-v15-direct-execution-row-v1,56,False,completed,True,vulnerable,BenchmarkTest00848,TP
