scenario_id,arm_id,trial_number,candidate_id,action_path,parameter_name,verified,finding_id,ground_truth_vulnerable,classification
x13-006,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-006/onyx:message,/suite-v13/x13-006/onyx,message,False,finding-0103be584268,False,TN
x13-011,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-011/drift:memo,/suite-v13/x13-011/drift,memo,False,finding-011551c4c004,False,TN
x13-020,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-020/lagoon:message,/suite-v13/x13-020/lagoon,message,False,finding-013de2213558,False,TN
x13-018,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-018/dune:text,/suite-v13/x13-018/dune,text,False,finding-015626651113,False,TN
x13-024,proprietary_gpt,5,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:item,/suite-v13/x13-024/east,item,False,finding-016911b3bb1b,False,TN
x13-022,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-022/quartz:comment,/suite-v13/x13-022/quartz,comment,False,finding-01bc47b7191a,False,TN
x13-006,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-006/lagoon:query,/suite-v13/x13-006/lagoon,query,False,finding-02144a95f1f5,False,TN
x13-009,proprietary_gpt,3,query:http://127.0.0.1:4395/suite-v13/x13-009/west?ref=sample:ref,/suite-v13/x13-009/west,ref,False,finding-0229c92a0696,False,TN
x13-023,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-023/tango:search,/suite-v13/x13-023/tango,search,False,finding-0254d42662f4,False,TN
x13-023,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-023/umber:query,/suite-v13/x13-023/umber,query,False,finding-025516af4c3f,False,TN
x13-019,proprietary_gpt,4,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:code,/suite-v13/x13-019/south,code,False,finding-02e5e14398b2,False,TN
x13-009,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-009/xenon:entry,/suite-v13/x13-009/xenon,entry,True,finding-0333662103a1,True,TP
x13-014,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-014/quill:line,/suite-v13/x13-014/quill,line,True,finding-033f4adcf730,True,TP
x13-006,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-006/mesa:text,/suite-v13/x13-006/mesa,text,False,finding-035c04f6be38,False,TN
x13-016,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-016/valley:search,/suite-v13/x13-016/valley,search,False,finding-03854741f37a,False,TN
x13-009,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-009/violet:term,/suite-v13/x13-009/violet,term,False,finding-039be112d2d7,False,TN
x13-008,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-008/tango:name,/suite-v13/x13-008/tango,name,False,finding-049002e344cc,False,TN
x13-006,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-006/mesa:text,/suite-v13/x13-006/mesa,text,False,finding-0536c83657b7,False,TN
x13-015,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-015/thistle:comment,/suite-v13/x13-015/thistle,comment,False,finding-058126a7236b,False,TN
x13-015,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-015/thistle:comment,/suite-v13/x13-015/thistle,comment,False,finding-05f44167016e,False,TN
x13-016,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-016/walnut:query,/suite-v13/x13-016/walnut,query,False,finding-0658f3acc6cb,False,TN
x13-003,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-003/delta:line,/suite-v13/x13-003/delta,line,True,finding-06b84d4f349f,True,TP
x13-018,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-018/dune:text,/suite-v13/x13-018/dune,text,False,finding-07676725433d,False,TN
x13-018,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/echo:name,/suite-v13/x13-018/echo,name,False,finding-07d856d870cc,False,TN
x13-004,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-004/echo:memo,/suite-v13/x13-004/echo,memo,True,finding-07e9c9946179,True,TP
x13-024,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-024/xenon:memo,/suite-v13/x13-024/xenon,memo,False,finding-07f1fbcde845,False,TN
x13-021,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:memo,/suite-v13/x13-021/mesa,memo,False,finding-081a1f55c6bb,False,TN
x13-012,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-012/hazel:query,/suite-v13/x13-012/hazel,query,False,finding-0859ada74151,False,TN
x13-014,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-014/orbit:search,/suite-v13/x13-014/orbit,search,False,finding-0861a334f363,False,TN
x13-009,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-009/xenon:entry,/suite-v13/x13-009/xenon,entry,True,finding-08714952b418,True,TP
x13-012,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/kepler:message,/suite-v13/x13-012/kepler,message,False,finding-09534cf68c32,False,TN
x13-011,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-011/drift:memo,/suite-v13/x13-011/drift,memo,False,finding-09a4d70e8fa5,False,TN
x13-022,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,finding-09cc3ad7e99b,False,TN
x13-019,proprietary_gpt,3,get-form:http://127.0.0.1:4395/suite-v13/x13-019/grove:search,/suite-v13/x13-019/grove,search,False,finding-09eb9b305900,False,TN
x13-023,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-023/willow:text,/suite-v13/x13-023/willow,text,False,finding-0a2c59c09292,False,TN
x13-005,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-005/harbor:comment,/suite-v13/x13-005/harbor,comment,True,finding-0a2fae0d77e2,True,TP
x13-008,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-008/sable:query,/suite-v13/x13-008/sable,query,False,finding-0a57d7775bcf,False,TN
x13-021,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:memo,/suite-v13/x13-021/mesa,memo,False,finding-0ab114074379,False,TN
x13-019,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-019/harbor:memo,/suite-v13/x13-019/harbor,memo,False,finding-0ad73c5c51ef,False,TN
x13-020,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-020/krypton:name,/suite-v13/x13-020/krypton,name,False,finding-0b0c83aae16d,False,TN
x13-024,proprietary_gpt,4,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:item,/suite-v13/x13-024/east,item,False,finding-0b1be9024897,False,TN
x13-012,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/islet:name,/suite-v13/x13-012/islet,name,False,finding-0b802dd34dbf,False,TN
x13-023,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-023/tango:search,/suite-v13/x13-023/tango,search,False,finding-0c2c66190186,False,TN
x13-007,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-007/ridge:item,/suite-v13/x13-007/ridge,item,False,finding-0c2ea255687a,False,TN
x13-011,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-011/cobalt:query,/suite-v13/x13-011/cobalt,query,False,finding-0cca7a6c4301,False,TN
x13-016,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-016/yonder:slot,/suite-v13/x13-016/yonder,slot,True,finding-0ce12d2fce77,True,TP
x13-011,proprietary_gpt,3,get-form:http://127.0.0.1:4395/suite-v13/x13-011/fable:name,/suite-v13/x13-011/fable,name,False,finding-0ce582e6a382,False,TN
x13-009,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-009/violet:term,/suite-v13/x13-009/violet,term,False,finding-0cf1669a60b7,False,TN
x13-011,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-011/drift:memo,/suite-v13/x13-011/drift,memo,False,finding-0d2830480a2f,False,TN
x13-012,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-012/islet:name,/suite-v13/x13-012/islet,name,False,finding-0d52064e78aa,False,TN
x13-002,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-002/olive:code,/suite-v13/x13-002/olive,code,False,finding-0d53d358929a,False,TN
x13-022,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-022/prism:line,/suite-v13/x13-022/prism,line,False,finding-0d6118c7dc33,False,TN
x13-012,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-012/islet:name,/suite-v13/x13-012/islet,name,False,finding-0df1d0e40734,False,TN
x13-005,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-005/harbor:comment,/suite-v13/x13-005/harbor,comment,True,finding-0e05d1de78e8,True,TP
x13-009,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-009/xenon:entry,/suite-v13/x13-009/xenon,entry,True,finding-0e2b2b428285,True,TP
x13-022,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,finding-0e52f36dd552,False,TN
x13-012,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/juno:text,/suite-v13/x13-012/juno,text,False,finding-0e735ffe27d1,False,TN
x13-021,proprietary_gpt,1,query:http://127.0.0.1:4395/suite-v13/x13-021/south?code=sample&view=sample:code,/suite-v13/x13-021/south,code,False,finding-0ec79c316143,False,TN
x13-006,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-006/nectar:name,/suite-v13/x13-006/nectar,name,False,finding-0ef114a6d2c7,False,TN
x13-021,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:name,/suite-v13/x13-021/mesa,name,False,finding-0f086d43f46b,False,TN
x13-022,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-022/quartz:comment,/suite-v13/x13-022/quartz,comment,False,finding-0f34fd93775b,False,TN
x13-003,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-003/delta:line,/suite-v13/x13-003/delta,line,True,finding-0f7a9fbeebbf,True,TP
x13-022,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-022/quartz:comment,/suite-v13/x13-022/quartz,comment,False,finding-0fc417003c71,False,TN
x13-006,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-006/lagoon:query,/suite-v13/x13-006/lagoon,query,False,finding-0ff63a977360,False,TN
x13-022,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-022/quartz:comment,/suite-v13/x13-022/quartz,comment,False,finding-0ffd118971b4,False,TN
x13-011,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-011/ember:title,/suite-v13/x13-011/ember,title,False,finding-1008b3f746a4,False,TN
x13-012,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-012/juno:text,/suite-v13/x13-012/juno,text,False,finding-103c24afa5a2,False,TN
x13-008,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-008/umber:line,/suite-v13/x13-008/umber,line,False,finding-11f55aafd9a4,False,TN
x13-009,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-009/xenon:entry,/suite-v13/x13-009/xenon,entry,True,finding-120065a52e58,True,TP
x13-024,proprietary_gpt,1,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:view,/suite-v13/x13-024/east,view,False,finding-1241462482e3,False,TN
x13-023,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-023/umber:query,/suite-v13/x13-023/umber,query,False,finding-13520c92dca7,False,TN
x13-020,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-020/iris:query,/suite-v13/x13-020/iris,query,False,finding-1483e760f497,False,TN
x13-006,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-006/nectar:name,/suite-v13/x13-006/nectar,name,False,finding-149f7195f06d,False,TN
x13-018,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-018/echo:name,/suite-v13/x13-018/echo,name,False,finding-15574188d7af,False,TN
x13-023,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-023/violet:name,/suite-v13/x13-023/violet,name,False,finding-15af94abebff,False,TN
x13-018,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/cedar:query,/suite-v13/x13-018/cedar,query,False,finding-15dd566c6d36,False,TN
x13-023,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-023/umber:query,/suite-v13/x13-023/umber,query,False,finding-16108ddd8562,False,TN
x13-021,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-021/onyx:item,/suite-v13/x13-021/onyx,item,False,finding-16981bee3ce3,False,TN
x13-018,proprietary_gpt,3,query:http://127.0.0.1:4395/suite-v13/x13-018/south?ref=sample&page=sample:ref,/suite-v13/x13-018/south,ref,False,finding-16d52a8d69b0,False,TN
x13-009,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-009/willow:note,/suite-v13/x13-009/willow,note,False,finding-1731d15c7a86,False,TN
x13-009,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-009/willow:note,/suite-v13/x13-009/willow,note,False,finding-17cec8c55b75,False,TN
x13-022,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-022/sable:memo,/suite-v13/x13-022/sable,memo,False,finding-18014881ee20,False,TN
x13-003,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-003/cabin:mark,/suite-v13/x13-003/cabin,mark,False,finding-1802f33743dd,False,TN
x13-011,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-011/ember:title,/suite-v13/x13-011/ember,title,False,finding-1811fc6f33f5,False,TN
x13-024,local_qwen,3,query:http://127.0.0.1:4395/suite-v13/x13-024/east?item=sample&view=sample:view,/suite-v13/x13-024/east,view,False,finding-181202c10cac,False,TN
x13-018,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/dune:text,/suite-v13/x13-018/dune,text,False,finding-18fd0af88acd,False,TN
x13-003,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-003/brook:note,/suite-v13/x13-003/brook,note,False,finding-19fc70fd6e86,False,TN
x13-017,local_qwen,3,query:http://127.0.0.1:4395/suite-v13/x13-017/east?item=sample&line=sample:item,/suite-v13/x13-017/east,item,False,finding-1a48d6f33ec2,False,TN
x13-022,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,finding-1a6d338de479,False,TN
x13-001,proprietary_gpt,1,query:http://127.0.0.1:4395/suite-v13/x13-001/cedar?item=sample:item,/suite-v13/x13-001/cedar,item,False,finding-1b9d081e2450,False,TN
x13-024,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-024/yarrow:line,/suite-v13/x13-024/yarrow,line,False,finding-1c0e86b52392,False,TN
x13-015,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-015/thistle:comment,/suite-v13/x13-015/thistle,comment,False,finding-1c13188720aa,False,TN
x13-022,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-022/prism:line,/suite-v13/x13-022/prism,line,False,finding-1ca3419f3779,False,TN
x13-022,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-022/ridge:title,/suite-v13/x13-022/ridge,title,False,finding-1cd0deaaa925,False,TN
x13-013,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-013/marble:query,/suite-v13/x13-013/marble,query,False,finding-1d473fb42109,False,TN
x13-020,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-020/krypton:name,/suite-v13/x13-020/krypton,name,False,finding-1d9099cbea52,False,TN
x13-021,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-021/mesa:memo,/suite-v13/x13-021/mesa,memo,False,finding-1d9b2ed5d9ca,False,TN
x13-006,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-006/nectar:name,/suite-v13/x13-006/nectar,name,False,finding-1daf9a188df9,False,TN
x13-011,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-011/drift:memo,/suite-v13/x13-011/drift,memo,False,finding-1dc1a64845ec,False,TN
