artifact_status,fake_data,model_candidate_id,family,model_identifier,scenario_id,scenario_outcome_class,trial_number,candidate_count,test_budget,valid,provider_failed,timeout,malformed,duplicate_id,unknown_id,omitted_id,validation_errors,parsed_ranking,top_rank_candidate_id,top_rank_is_vulnerable,vulnerable_candidate_rank,top_k_recall,reciprocal_rank,negative_scenario_behavior,latency_ms,estimated_peak_memory_gb,metadata_completeness_score,prompt_version,candidate_input_keys,authority_boundary_preserved,schedule_index,transport_parser_rule_version,runtime_marker_separated,stop_reason,token_limit_reached,generated_token_count,process_return_code,stdout_sha256,stderr_sha256,exact_command,prompt_input_tokens,completion_output_tokens,total_tokens,cost_usd,memory_before_available_bytes,memory_after_available_bytes,memory_delta_available_bytes,resource_measurement_available
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,1,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,56496,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,1,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,141,0,dea0de90c57572ada14fdd24c8f08e6242d4dabc5bf83d59599e99fe16bbbdc2,7d9815bb06e6242e588611a6139f81e375e2ea909690839fa081d319b2ab3d9c,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmp8ror0f_9.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-001.json""]",not_available,141,not_available,not_applicable,4820713472,7707820032,2887106560,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,2,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,41806,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,2,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,141,0,dea0de90c57572ada14fdd24c8f08e6242d4dabc5bf83d59599e99fe16bbbdc2,1c53e9d665c5d92686a78de9d402feab1e27dcd995e6752bcb2fc5ea69929189,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmpbppi69vp.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-001.json""]",not_available,141,not_available,not_applicable,7702048768,8620204032,918155264,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,3,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,37860,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,3,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,141,0,dea0de90c57572ada14fdd24c8f08e6242d4dabc5bf83d59599e99fe16bbbdc2,5d4110ee9eb6d5ac6196965bf9442ceb4561547cb53a686e671fac55869c96cd,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmp2lytrbm6.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-001.json""]",not_available,141,not_available,not_applicable,8615706624,8681160704,65454080,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,1,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,50319,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,4,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,200,0,1b8ce5e5764f2721498e1bbff1e03698cde8c79b8aecfe54b45c17fc2c86bba3,5f9dcfe42b3afbf7d02c738b374a5b87209c71187e2a0b067d9ff2b3bd8de0f4,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmpedej13ki.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-002.json""]",not_available,200,not_available,not_applicable,8674254848,8578420736,-95834112,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,2,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,51278,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,5,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,200,0,1b8ce5e5764f2721498e1bbff1e03698cde8c79b8aecfe54b45c17fc2c86bba3,8b92ce3aa8925e862c94698edb85d56ff88b705c0eb27bd70eba3c72b9234efd,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmphlozeamx.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-002.json""]",not_available,200,not_available,not_applicable,8570740736,8927657984,356917248,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,3,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,52781,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,6,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,200,0,1b8ce5e5764f2721498e1bbff1e03698cde8c79b8aecfe54b45c17fc2c86bba3,d235fd9fdadf7417f38ae7560ecbd28963d80bce85356015cef7738fab0d1f76,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmp7jarlao0.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-002.json""]",not_available,200,not_available,not_applicable,8926965760,8832286720,-94679040,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,1,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,63775,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,7,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,247,0,65ff2ee010bd7d48c9270a7c5edde5cdea12347529062c06840c854d4282dfd0,b39b9ad27ddbb8271cdc2d3f4f9c5091f5e823574c0576a0776fb126c4e723b3,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmp4yc64qkz.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-003.json""]",not_available,247,not_available,not_applicable,8824397824,8703733760,-120664064,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,2,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,62765,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,8,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,247,0,65ff2ee010bd7d48c9270a7c5edde5cdea12347529062c06840c854d4282dfd0,02acdf6d8d7505d0b50fd671a82751fc9b79f9a46e9e36787be369ffc8b6c544,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmp_hnkbygi.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-003.json""]",not_available,247,not_available,not_applicable,8691048448,8996503552,305455104,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,3,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,63630,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,9,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,247,0,65ff2ee010bd7d48c9270a7c5edde5cdea12347529062c06840c854d4282dfd0,3962a7c979b6d922fc9bbad1b33f9668c60c508dbc88c948658aceb983d2893f,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmpbmmdj27z.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-003.json""]",not_available,247,not_available,not_applicable,8990892032,9274105856,283213824,True
live_model_response,False,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-004,vulnerable,1,7,4,True,False,False,False,False,False,False,[],"[""cal-xss-004-iris-search"", ""cal-xss-004-juniper-query"", ""cal-xss-004-krypton-name"", ""cal-xss-004-mesa-comment"", ""cal-xss-004-lagoon-mode"", ""cal-xss-004-lagoon-page"", ""cal-xss-004-lagoon-slot""]",cal-xss-004-iris-search,False,7,False,0.14285714285714285,not_applicable,68415,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True,10,llama-completion-transport-parser-v1.3,True,eos_runtime_marker,False,253,0,0fffd1b76aeaafad426b2fd15471c384c58d32993643caee2e449ffd489e8e3f,6600ab58f574a3bb5dae0326b4ca709c8324b4398208adf37a52e8886ac4c0dc,"[""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-runtimes\\llama.cpp-b9637\\cpu-x64\\llama-completion.exe"", ""-m"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\.adstf-models\\local-runtime-provisioning-v1.3\\qwen2_5_7b_instruct_gguf_q4_k_m\\qwen2.5-7b-instruct-q4_k_m-00001-of-00002.gguf"", ""-f"", ""C:\\Users\\SELUAPNS\\AppData\\Local\\Temp\\tmpe4w7x_a6.prompt.txt"", ""-c"", ""4096"", ""-n"", ""768"", ""--temp"", ""0.0"", ""--top-p"", ""1.0"", ""--seed"", ""42"", ""-t"", ""8"", ""--no-display-prompt"", ""--single-turn"", ""--json-schema-file"", ""C:\\Users\\SELUAPNS\\source\\repos\\ai-driven-security-testing-framework\\results\\local-model-calibration-bakeoff-v1.3\\schemas\\cal-xss-004.json""]",not_available,253,not_available,not_applicable,9279459328,9219174400,-60284928,True
