arm_id,scenario_id,trial_number,rank,candidate_id,candidate_known,duplicate_in_response,valid_trial,rationale
proprietary_gpt,x13-001,1,1,query:http://127.0.0.1:4395/suite-v13/x13-001/cedar?item=sample:item,True,False,True,"Direct query parameter with a single editable input, making it a clear reflected-input candidate."
proprietary_gpt,x13-001,1,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/birch:memo,True,False,True,Single optional GET text input with a straightforward free-form parameter.
proprietary_gpt,x13-001,1,3,get-form:http://127.0.0.1:4395/suite-v13/x13-001/dune:line,True,False,True,Single optional GET text input and similarly simple reflection surface.
proprietary_gpt,x13-001,1,4,get-form:http://127.0.0.1:4395/suite-v13/x13-001/amber:tone,True,False,True,"Single optional GET text input, but the parameter name suggests a potentially more constrained value."
proprietary_gpt,x13-001,2,1,query:http://127.0.0.1:4395/suite-v13/x13-001/cedar?item=sample:item,True,False,True,"Direct query parameter with a simple single-input GET surface, making it a clear reflected-input candidate."
proprietary_gpt,x13-001,2,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/amber:tone,True,False,True,"Single editable text input submitted via GET, providing a straightforward reflected-input surface."
proprietary_gpt,x13-001,2,3,get-form:http://127.0.0.1:4395/suite-v13/x13-001/birch:memo,True,False,True,Single optional text parameter in a GET form; suitable for reflected-input prioritization.
proprietary_gpt,x13-001,2,4,get-form:http://127.0.0.1:4395/suite-v13/x13-001/dune:line,True,False,True,"Single optional text input submitted through GET, with a comparable but slightly lower-priority test surface."
proprietary_gpt,x13-001,3,1,query:http://127.0.0.1:4395/suite-v13/x13-001/cedar?item=sample:item,True,False,True,"Direct single query parameter with a simple editable text value, making it a clear reflected-input candidate."
proprietary_gpt,x13-001,3,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/amber:tone,True,False,True,Single optional text input submitted via GET; straightforward candidate with minimal parameter complexity.
proprietary_gpt,x13-001,3,3,get-form:http://127.0.0.1:4395/suite-v13/x13-001/birch:memo,True,False,True,"Single optional text input submitted via GET; equally simple, ranked below the other direct-input candidates by tie-break."
proprietary_gpt,x13-001,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-001/dune:line,True,False,True,Single optional text input submitted via GET; minimal complexity but no distinguishing metadata for higher priority.
proprietary_gpt,x13-001,4,1,query:http://127.0.0.1:4395/suite-v13/x13-001/cedar?item=sample:item,True,False,True,"Direct single query parameter on a GET endpoint, making the input straightforward to assess for reflection."
proprietary_gpt,x13-001,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-001/amber:tone,True,False,True,"Single optional editable text input submitted via GET; simple, focused reflection candidate."
