suite_case_id,case_id,trial_number,provider,model_identifier,prompt_version,candidate_count,selected_candidate_id,vulnerable_candidate_id,vulnerable_rank,top_1,top_k,reciprocal_rank,tested_candidate_count,verified_by_verifier,post_run_classification,source_protocol,source_run_id,evidence_source
heldout-xss::hx-001,hx-001,1,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/desk/preview:note,get-form:http://127.0.0.1:4391/desk/preview:note,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-002,hx-002,1,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/ledger/memo:memo,,,,,,3,False,TN,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-003,hx-003,1,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/queue/submit:comment,get-form:http://127.0.0.1:4391/queue/submit:comment,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-001,hx-001,2,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/desk/preview:note,get-form:http://127.0.0.1:4391/desk/preview:note,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-002,hx-002,2,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/ledger/memo:memo,,,,,,3,False,TN,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-003,hx-003,2,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/queue/submit:comment,get-form:http://127.0.0.1:4391/queue/submit:comment,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-001,hx-001,3,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/desk/preview:note,get-form:http://127.0.0.1:4391/desk/preview:note,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-002,hx-002,3,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/ledger/memo:memo,,,,,,3,False,TN,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-003,hx-003,3,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/queue/submit:comment,get-form:http://127.0.0.1:4391/queue/submit:comment,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-001,hx-001,4,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/desk/preview:note,get-form:http://127.0.0.1:4391/desk/preview:note,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-002,hx-002,4,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/ledger/memo:memo,,,,,,3,False,TN,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-003,hx-003,4,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/queue/submit:comment,get-form:http://127.0.0.1:4391/queue/submit:comment,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-001,hx-001,5,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/desk/preview:note,get-form:http://127.0.0.1:4391/desk/preview:note,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-002,hx-002,5,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/ledger/memo:memo,,,,,,3,False,TN,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
heldout-xss::hx-003,hx-003,5,openai,gpt-5.6-luna,llm-candidate-ranking-v1,3,get-form:http://127.0.0.1:4391/queue/submit:comment,get-form:http://127.0.0.1:4391/queue/submit:comment,1,True,True,1.0,1,True,TP,evaluation-protocol-v1.1 reused under v1.2,heldout-evaluation-20260720T064510Z,artifacts/raw/v1.1/framework-xss
