actual_trials,all_five_complete_rankings_identical,arm_id,at_least_one_valid_complete_ranking_differs,complete_ranking_values,exact_complete_ranking_agreement_pairs,exact_complete_ranking_agreement_rate,expected_trials,has_invalid_or_failed_trial,invalid_or_failed_trials,kendall_tau_mean,kendall_tau_median,mean_rr,rr_max,rr_min,rr_population_stdev,rr_range,rr_values,scenario_id,scenario_type,spearman_mean,spearman_median,terminal_status_counts,top1_success_trials,top2_success_trials,top4_success_trials,unique_complete_rankings,unique_vulnerable_ranks,valid_complete_ranking_trials,valid_pair_count,valid_vulnerable_ranks,vulnerable_rank_agreement_pairs,vulnerable_rank_agreement_rate,vulnerable_rank_identical_across_all_five_trials,vulnerable_rank_pair_count,vulnerable_rank_population_stdev,vulnerable_rank_range,vulnerable_rank_stability_category
5,True,proprietary_gpt,False,"[""ox14-c000227|ox14-c000236|ox14-c000348|ox14-c000189|ox14-c000030""]",10,1.0,5,False,0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"[1.0, 1.0, 1.0, 1.0, 1.0]",ow14-s0001,positive,1.0,1.0,"{""valid"": 5}",5,5,5,1,1,5,10,"[1, 1, 1, 1, 1]",10,1.0,True,10,0.0,0,stable_identical_rank
5,False,proprietary_gpt,True,"[""ox14-c000083|ox14-c000222|ox14-c000209|ox14-c000341|ox14-c000426"", ""ox14-c000083|ox14-c000222|ox14-c000426|ox14-c000209|ox14-c000341"", ""ox14-c000426|ox14-c000209|ox14-c000341|ox14-c000083|ox14-c000222""]",3,0.3,5,False,0,0.12,-0.2,0.32,0.5,0.2,0.14696938456699069,0.3,"[0.5, 0.2, 0.2, 0.5, 0.2]",ow14-s0002,positive,-0.020000000000000018,-0.5,"{""valid"": 5}",0,2,2,3,2,5,10,"[2, 5, 5, 2, 5]",4,0.4,False,10,1.469693845669907,3,varies_by_two_or_more_positions
5,True,proprietary_gpt,False,"[""ox14-c000259|ox14-c000326|ox14-c000184|ox14-c000333|ox14-c000254""]",10,1.0,5,False,0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0003,positive,1.0,1.0,"{""valid"": 5}",0,5,5,1,1,5,10,"[2, 2, 2, 2, 2]",10,1.0,True,10,0.0,0,stable_identical_rank
5,False,proprietary_gpt,True,"[""ox14-c000055|ox14-c000278|ox14-c000355|ox14-c000229|ox14-c000031"", ""ox14-c000229|ox14-c000055|ox14-c000355|ox14-c000278|ox14-c000031"", ""ox14-c000278|ox14-c000055|ox14-c000355|ox14-c000229|ox14-c000031""]",3,0.3,5,False,0,0.56,0.8,0.6,1.0,0.5,0.2,0.5,"[1.0, 0.5, 0.5, 0.5, 0.5]",ow14-s0004,positive,0.63,0.9,"{""valid"": 5}",1,5,5,3,2,5,10,"[1, 2, 2, 2, 2]",6,0.6,False,10,0.4,1,varies_by_one_position
5,False,proprietary_gpt,True,"[""ox14-c000125|ox14-c000098|ox14-c000204|ox14-c000065|ox14-c000294"", ""ox14-c000204|ox14-c000065|ox14-c000125|ox14-c000098|ox14-c000294""]",4,0.4,5,False,0,0.52,0.2,0.35,0.5,0.25,0.1224744871391589,0.25,"[0.5, 0.25, 0.25, 0.25, 0.5]",ow14-s0005,positive,0.52,0.19999999999999996,"{""valid"": 5}",0,2,5,2,2,5,10,"[2, 4, 4, 4, 2]",4,0.4,False,10,0.9797958971132712,2,varies_by_two_or_more_positions
5,True,proprietary_gpt,False,"[""ox14-c000044|ox14-c000334|ox14-c000409|ox14-c000066|ox14-c000164""]",10,1.0,5,False,0,1.0,1.0,0.5,0.5,0.5,0.0,0.0,"[0.5, 0.5, 0.5, 0.5, 0.5]",ow14-s0006,positive,1.0,1.0,"{""valid"": 5}",0,5,5,1,1,5,10,"[2, 2, 2, 2, 2]",10,1.0,True,10,0.0,0,stable_identical_rank
5,False,proprietary_gpt,True,"[""ox14-c000112|ox14-c000261|ox14-c000255|ox14-c000432|ox14-c000208"", ""ox14-c000208|ox14-c000112|ox14-c000261|ox14-c000432|ox14-c000255"", ""ox14-c000208|ox14-c000432|ox14-c000112|ox14-c000261|ox14-c000255"", ""ox14-c000432|ox14-c000112|ox14-c000261|ox14-c000255|ox14-c000208""]",1,0.1,5,False,0,0.16,0.1,0.2633333333333333,0.3333333333333333,0.2,0.059999999999999984,0.1333333333333333,"[0.3333333333333333, 0.3333333333333333, 0.2, 0.25, 0.2]",ow14-s0007,positive,0.07999999999999996,-0.050000000000000044,"{""valid"": 5}",0,0,3,4,3,5,10,"[3, 3, 5, 4, 5]",2,0.2,False,10,0.8944271909999159,2,varies_by_two_or_more_positions
5,False,proprietary_gpt,True,"[""ox14-c000362|ox14-c000224|ox14-c000414|ox14-c000310|ox14-c000173"", ""ox14-c000414|ox14-c000362|ox14-c000224|ox14-c000310|ox14-c000173""]",4,0.4,5,False,0,0.76,0.6,0.2,0.2,0.2,0.0,0.0,"[0.2, 0.2, 0.2, 0.2, 0.2]",ow14-s0008,positive,0.82,0.7,"{""valid"": 5}",0,0,0,2,1,5,10,"[5, 5, 5, 5, 5]",10,1.0,True,10,0.0,0,stable_identical_rank
5,False,proprietary_gpt,True,"[""ox14-c000210|ox14-c000063|ox14-c000402|ox14-c000391|ox14-c000036"", ""ox14-c000402|ox14-c000391|ox14-c000210|ox14-c000063|ox14-c000036""]",6,0.6,5,False,0,0.68,1.0,0.3,0.5,0.25,0.1,0.25,"[0.25, 0.25, 0.25, 0.5, 0.25]",ow14-s0009,positive,0.6799999999999999,1.0,"{""valid"": 5}",0,1,5,2,2,5,10,"[4, 4, 4, 2, 4]",6,0.6,False,10,0.8,2,varies_by_two_or_more_positions
5,False,proprietary_gpt,True,"[""ox14-c000225|ox14-c000320|ox14-c000252|ox14-c000349|ox14-c000067"", ""ox14-c000225|ox14-c000349|ox14-c000067|ox14-c000320|ox14-c000252""]",4,0.4,5,False,0,0.52,0.2,0.35,0.5,0.25,0.1224744871391589,0.25,"[0.25, 0.25, 0.5, 0.25, 0.5]",ow14-s0010,positive,0.52,0.19999999999999996,"{""valid"": 5}",0,2,5,2,2,5,10,"[4, 4, 2, 4, 2]",4,0.4,False,10,0.9797958971132712,2,varies_by_two_or_more_positions
