arm_family,arm_id,candidate_test_budget,expected_model_runtime,ground_truth_available_to_runner,protocol_commit,protocol_tag,representation_condition,row_id,scenario_id,schema_version,scored,sequence,snapshot_path,snapshot_reference,top_k,trial_number
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00001,ow14-s0001,owasp-xss-v14-1-immutable-execution-schedule-v1,True,1,model-facing/minimal-candidate-snapshots/ow14-s0001.json,"{""candidate_input_sha256"": ""530d31298e61ea03c6fa4ab1f0ce510ce43f314e6c6817b607051577c4a06511"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0001.json"", ""snapshot_sha256"": ""a9b1fbb8ebd8fa7635fc2d99a0cf0f2bf20c9c280b075981308cf9ed76ec18e0""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00002,ow14-s0002,owasp-xss-v14-1-immutable-execution-schedule-v1,True,2,model-facing/minimal-candidate-snapshots/ow14-s0002.json,"{""candidate_input_sha256"": ""37a472f5a60c492c79cf498661fb3e237a16f9d96a7087c02b9de24f9949bfc3"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0002.json"", ""snapshot_sha256"": ""3023944c9773137ab553f945892e6999c6ff0880e7a127b91ab07604afb9e194""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00003,ow14-s0003,owasp-xss-v14-1-immutable-execution-schedule-v1,True,3,model-facing/minimal-candidate-snapshots/ow14-s0003.json,"{""candidate_input_sha256"": ""ba23cfd79b149a021bd76e41204fe06b5ca706b07c9688762f44ebbcf137cd2b"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0003.json"", ""snapshot_sha256"": ""cc9b31385c0b1b831452333e4bad39cdf058e156524dcd70ce7b88f7008ef8fc""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00004,ow14-s0004,owasp-xss-v14-1-immutable-execution-schedule-v1,True,4,model-facing/minimal-candidate-snapshots/ow14-s0004.json,"{""candidate_input_sha256"": ""09fac81b9829b5b49e40d47ddacb26f22332ebed8e9b32844df61d7a800e47d1"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0004.json"", ""snapshot_sha256"": ""6a1705a0fa1a21cbb7fea00abaae7fa1c54607ed70208fdf56630488c6c2ab0f""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00005,ow14-s0005,owasp-xss-v14-1-immutable-execution-schedule-v1,True,5,model-facing/minimal-candidate-snapshots/ow14-s0005.json,"{""candidate_input_sha256"": ""915221ad232dc45ea04f82a67bf0d637178b8e0d04d86c173bbffcfd3371da13"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0005.json"", ""snapshot_sha256"": ""c4924dc5e8532580db868f358f06500c8b0bab35fafad472df8946c19d2d9730""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00006,ow14-s0006,owasp-xss-v14-1-immutable-execution-schedule-v1,True,6,model-facing/minimal-candidate-snapshots/ow14-s0006.json,"{""candidate_input_sha256"": ""e0f5f37eac71307f2e55029cb13e40c9baae4b49d9fb1f96e3d235a28b0d5d3a"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0006.json"", ""snapshot_sha256"": ""cae45afc1c0befb423d55679acb7c7d0febc64964fd7ec6cfbab3af4df1a88fd""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00007,ow14-s0007,owasp-xss-v14-1-immutable-execution-schedule-v1,True,7,model-facing/minimal-candidate-snapshots/ow14-s0007.json,"{""candidate_input_sha256"": ""854aff86fe875b6f956c76732ec9a87f0d5d4733c11623af622cbe66f8557ae6"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0007.json"", ""snapshot_sha256"": ""39ec8fcda7a8ad15e421ef3bf95f0d642c85a0ef2f428e9792b0afce6d6fc7af""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00008,ow14-s0008,owasp-xss-v14-1-immutable-execution-schedule-v1,True,8,model-facing/minimal-candidate-snapshots/ow14-s0008.json,"{""candidate_input_sha256"": ""fb60d6680babcccbd3dcc25298d3da9045f457f9fa139602e9880962819e1121"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0008.json"", ""snapshot_sha256"": ""590fec997de3d7b7f9b553d387085fbca2878242a8ecaa5a29888aef20addf1d""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00009,ow14-s0009,owasp-xss-v14-1-immutable-execution-schedule-v1,True,9,model-facing/minimal-candidate-snapshots/ow14-s0009.json,"{""candidate_input_sha256"": ""fa73426d233217d9652f845c8d9c4a9c42e07f7a936b7e547f88139903c913bb"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0009.json"", ""snapshot_sha256"": ""5ce25e52f29a458320aa6574c2267002f082d231490217ec1bca1ccf27c2d00f""}",4,1
deterministic,deterministic_minimal,4,"{""model_hashes"": ""not_applicable"", ""model_identifier"": ""not_applicable"", ""prompt_version"": ""not_applicable"", ""provider"": ""deterministic"", ""runtime"": ""in_process_deterministic_ranker""}",False,08e72f32c9de7e0fb80f3ccfd64c85b6fe99ddb3,evaluation-protocol-v1.4.1-ready,minimal,ow14-1-r00010,ow14-s0010,owasp-xss-v14-1-immutable-execution-schedule-v1,True,10,model-facing/minimal-candidate-snapshots/ow14-s0010.json,"{""candidate_input_sha256"": ""c75a525e99e8f2c7467fb66914ab6dbf302a621c324e04cb52e57ad58890ecdd"", ""path"": ""model-facing/minimal-candidate-snapshots/ow14-s0010.json"", ""snapshot_sha256"": ""fc54450a08580756cc18b39f3f27955936b08580d9900aebfb0e50c7334aa6b4""}",4,1
