distinct_pre_tiebreak_scores,scenario_id,score_equivalence_pattern,score_vector_in_final_order,vulnerable_alignment_bucket,vulnerable_candidate_rank,vulnerable_distractors_sharing_score,vulnerable_in_best_score_class,vulnerable_in_worst_score_class,vulnerable_pre_tiebreak_score,vulnerable_score_class_rank
3,ow14-s0001,2-2-1,"[132, 132, 127, 127, 117]",tied_in_middle_score_class,3,1,False,False,127,2
2,ow14-s0002,3-2,"[132, 132, 132, 127, 127]",tied_for_lowest,5,1,False,True,127,2
1,ow14-s0003,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,4,4,True,True,132,1
3,ow14-s0004,3-1-1,"[132, 132, 132, 127, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0005,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,2,3,True,False,132,1
2,ow14-s0006,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,3,3,True,False,132,1
1,ow14-s0007,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,3,4,True,True,132,1
3,ow14-s0008,2-2-1,"[132, 127, 127, 117, 117]",tied_for_lowest,4,1,False,True,117,3
2,ow14-s0009,4-1,"[132, 132, 132, 132, 117]",tied_for_highest,1,3,True,False,132,1
2,ow14-s0010,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,4,3,True,False,132,1
3,ow14-s0011,2-2-1,"[132, 132, 127, 127, 117]",tied_for_highest,2,1,True,False,132,1
2,ow14-s0012,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,2,3,True,False,132,1
1,ow14-s0013,5,"[132, 132, 132, 132, 132]",all_candidates_tied_for_highest_and_lowest,5,4,True,True,132,1
2,ow14-s0014,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,1,2,True,False,132,1
2,ow14-s0015,3-2,"[132, 132, 132, 117, 117]",tied_for_highest,3,2,True,False,132,1
2,ow14-s0016,4-1,"[132, 132, 132, 132, 127]",tied_for_highest,1,3,True,False,132,1
