scenario_id,arm_id,trial_number,candidate_id,action_path,parameter_name,verified,finding_id,ground_truth_vulnerable,classification
x13-023,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-023/violet:name,/suite-v13/x13-023/violet,name,False,finding-000bdda88a0f,False,TN
x13-020,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-020/juniper:text,/suite-v13/x13-020/juniper,text,False,finding-0043b86029a8,False,TN
x13-024,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-024/yarrow:line,/suite-v13/x13-024/yarrow,line,False,finding-00990ab6026c,False,TN
x13-006,local_qwen,3,get-form:http://127.0.0.1:4395/suite-v13/x13-006/lagoon:query,/suite-v13/x13-006/lagoon,query,False,finding-00fd938a0d81,False,TN
x13-023,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-023/umber:query,/suite-v13/x13-023/umber,query,False,finding-01002f84755b,False,TN
x13-020,local_qwen,2,get-form:http://127.0.0.1:4395/suite-v13/x13-020/lagoon:message,/suite-v13/x13-020/lagoon,message,False,finding-011bb29ea97a,False,TN
x13-020,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-020/juniper:text,/suite-v13/x13-020/juniper,text,False,finding-01586c1ac120,False,TN
x13-012,proprietary_gpt,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/hazel:query,/suite-v13/x13-012/hazel,query,False,finding-0187c1b9d344,False,TN
x13-021,proprietary_gpt,5,get-form:http://127.0.0.1:4395/suite-v13/x13-021/nectar:query,/suite-v13/x13-021/nectar,query,False,finding-018fe22d94b8,False,TN
x13-018,local_qwen,1,get-form:http://127.0.0.1:4395/suite-v13/x13-018/echo:name,/suite-v13/x13-018/echo,name,False,finding-02b7558fd1f8,False,TN
x13-010,proprietary_gpt,3,get-form:http://127.0.0.1:4395/suite-v13/x13-010/aurora:text,/suite-v13/x13-010/aurora,text,True,finding-02ef51d1daaf,True,TP
x13-013,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-013/larch:code,/suite-v13/x13-013/larch,code,False,finding-02f6c519a6d0,False,TN
x13-020,deterministic_structural,1,get-form:http://127.0.0.1:4395/suite-v13/x13-020/krypton:name,/suite-v13/x13-020/krypton,name,False,finding-0368fb3e0baf,False,TN
x13-015,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-015/thistle:comment,/suite-v13/x13-015/thistle,comment,False,finding-03affc4019e5,False,TN
x13-020,local_qwen,5,get-form:http://127.0.0.1:4395/suite-v13/x13-020/lagoon:message,/suite-v13/x13-020/lagoon,message,False,finding-03bae1f6514f,False,TN
x13-011,proprietary_gpt,1,get-form:http://127.0.0.1:4395/suite-v13/x13-011/cobalt:query,/suite-v13/x13-011/cobalt,query,False,finding-03d1f0bf2c41,False,TN
x13-012,proprietary_gpt,2,get-form:http://127.0.0.1:4395/suite-v13/x13-012/hazel:query,/suite-v13/x13-012/hazel,query,False,finding-040f92addcdc,False,TN
x13-003,local_qwen,4,get-form:http://127.0.0.1:4395/suite-v13/x13-003/brook:note,/suite-v13/x13-003/brook,note,False,finding-042ab4e65073,False,TN
