baseline_id,suite_case_id,case_id,category,evaluation_status,expected_vulnerable,scanner_state,classification,mapped_alert_count,source_protocol,source_run_id,evidence_source,notes
zap_passive,heldout-xss::hx-001,hx-001,reflected_xss,evaluated,True,no_alert,FN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,Scanner alert classification; not a verifier-confirmed framework finding.
zap_passive,heldout-xss::hx-002,hx-002,reflected_xss,evaluated,False,no_alert,TN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,Scanner alert classification; not a verifier-confirmed framework finding.
zap_passive,heldout-xss::hx-003,hx-003,reflected_xss,evaluated,True,no_alert,FN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,Scanner alert classification; not a verifier-confirmed framework finding.
zap_passive,heldout-sqli::hs-001,hs-001,boolean_sqli,evaluated,True,no_alert,FN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,Scanner alert classification; not a verifier-confirmed framework finding.
zap_passive,heldout-sqli::hs-002,hs-002,boolean_sqli,evaluated,False,no_alert,TN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,Scanner alert classification; not a verifier-confirmed framework finding.
zap_passive,heldout-idor::hi-001,hi-001,read_only_idor,unsupported,,unsupported,not_evaluated,,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,ZAP passive spider alerts do not establish two-user read-only authorization behavior.
zap_passive,heldout-idor::hi-002,hi-002,read_only_idor,unsupported,,unsupported,not_evaluated,,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-passive,ZAP passive spider alerts do not establish two-user read-only authorization behavior.
zap_active,heldout-xss::hx-001,hx-001,reflected_xss,evaluated,True,no_alert,FN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,Scanner alert classification; not a verifier-confirmed framework finding.
zap_active,heldout-xss::hx-002,hx-002,reflected_xss,evaluated,False,no_alert,TN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,Scanner alert classification; not a verifier-confirmed framework finding.
zap_active,heldout-xss::hx-003,hx-003,reflected_xss,evaluated,True,no_alert,FN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,Scanner alert classification; not a verifier-confirmed framework finding.
zap_active,heldout-sqli::hs-001,hs-001,boolean_sqli,evaluated,True,alerted,TP,1,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,Scanner alert classification; not a verifier-confirmed framework finding.
zap_active,heldout-sqli::hs-002,hs-002,boolean_sqli,evaluated,False,no_alert,TN,0,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,Scanner alert classification; not a verifier-confirmed framework finding.
zap_active,heldout-idor::hi-001,hi-001,read_only_idor,unsupported,,unsupported,not_evaluated,,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,ZAP active unauthenticated scanner alerts do not establish two-user read-only authorization behavior.
zap_active,heldout-idor::hi-002,hi-002,read_only_idor,unsupported,,unsupported,not_evaluated,,evaluation-protocol-v1.2 rerun,heldout-evaluation-v1.2-affected-20260720T093154Z,artifacts/raw/v1.2/zap-active,ZAP active unauthenticated scanner alerts do not establish two-user read-only authorization behavior.
