sequence,arm_id,scenario_id,trial_number,scenario_type,status,contract_valid,provider_failed,focal_vulnerable_candidate_id,parsed_ranking,vulnerable_candidate_rank,top_1_success,top_4_success,reciprocal_rank,latency_ms,raw_artifact,validation_errors
1,deterministic_structural,os15-s0001,1,positive,valid,True,False,os15-c000446,"[""os15-c000446"",""os15-c000452"",""os15-c000293"",""os15-c000112"",""os15-c000236""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0001__deterministic_structural__os15-s0001__trial-1.json,[]
2,deterministic_structural,os15-s0002,1,positive,valid,True,False,os15-c000023,"[""os15-c000023"",""os15-c000203"",""os15-c000362"",""os15-c000152"",""os15-c000084""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0002__deterministic_structural__os15-s0002__trial-1.json,[]
3,deterministic_structural,os15-s0003,1,positive,valid,True,False,os15-c000086,"[""os15-c000086"",""os15-c000432"",""os15-c000020"",""os15-c000064"",""os15-c000481""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0003__deterministic_structural__os15-s0003__trial-1.json,[]
4,deterministic_structural,os15-s0004,1,positive,valid,True,False,os15-c000005,"[""os15-c000005"",""os15-c000162"",""os15-c000373"",""os15-c000153"",""os15-c000503""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0004__deterministic_structural__os15-s0004__trial-1.json,[]
5,deterministic_structural,os15-s0005,1,positive,valid,True,False,os15-c000010,"[""os15-c000051"",""os15-c000074"",""os15-c000010"",""os15-c000093"",""os15-c000111""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0005__deterministic_structural__os15-s0005__trial-1.json,[]
6,deterministic_structural,os15-s0006,1,positive,valid,True,False,os15-c000262,"[""os15-c000329"",""os15-c000358"",""os15-c000466"",""os15-c000083"",""os15-c000262""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0006__deterministic_structural__os15-s0006__trial-1.json,[]
7,deterministic_structural,os15-s0007,1,positive,valid,True,False,os15-c000232,"[""os15-c000232"",""os15-c000372"",""os15-c000223"",""os15-c000410"",""os15-c000493""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0007__deterministic_structural__os15-s0007__trial-1.json,[]
8,deterministic_structural,os15-s0008,1,positive,valid,True,False,os15-c000202,"[""os15-c000192"",""os15-c000202"",""os15-c000336"",""os15-c000087"",""os15-c000455""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0008__deterministic_structural__os15-s0008__trial-1.json,[]
9,deterministic_structural,os15-s0009,1,positive,valid,True,False,os15-c000415,"[""os15-c000151"",""os15-c000337"",""os15-c000216"",""os15-c000323"",""os15-c000415""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0009__deterministic_structural__os15-s0009__trial-1.json,[]
10,deterministic_structural,os15-s0010,1,positive,valid,True,False,os15-c000482,"[""os15-c000131"",""os15-c000308"",""os15-c000388"",""os15-c000482"",""os15-c000154""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0010__deterministic_structural__os15-s0010__trial-1.json,[]
11,deterministic_structural,os15-s0011,1,positive,valid,True,False,os15-c000365,"[""os15-c000073"",""os15-c000365"",""os15-c000469"",""os15-c000501"",""os15-c000116""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0011__deterministic_structural__os15-s0011__trial-1.json,[]
12,deterministic_structural,os15-s0012,1,positive,valid,True,False,os15-c000273,"[""os15-c000243"",""os15-c000103"",""os15-c000427"",""os15-c000492"",""os15-c000273""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0012__deterministic_structural__os15-s0012__trial-1.json,[]
13,deterministic_structural,os15-s0013,1,positive,valid,True,False,os15-c000082,"[""os15-c000067"",""os15-c000331"",""os15-c000082"",""os15-c000305"",""os15-c000261""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0013__deterministic_structural__os15-s0013__trial-1.json,[]
14,deterministic_structural,os15-s0014,1,positive,valid,True,False,os15-c000072,"[""os15-c000072"",""os15-c000396"",""os15-c000408"",""os15-c000464"",""os15-c000384""]",1,True,True,1.0,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0014__deterministic_structural__os15-s0014__trial-1.json,[]
15,deterministic_structural,os15-s0015,1,positive,valid,True,False,os15-c000105,"[""os15-c000195"",""os15-c000110"",""os15-c000485"",""os15-c000105"",""os15-c000163""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0015__deterministic_structural__os15-s0015__trial-1.json,[]
16,deterministic_structural,os15-s0016,1,positive,valid,True,False,os15-c000174,"[""os15-c000392"",""os15-c000174"",""os15-c000351"",""os15-c000414"",""os15-c000325""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0016__deterministic_structural__os15-s0016__trial-1.json,[]
17,deterministic_structural,os15-s0017,1,positive,valid,True,False,os15-c000468,"[""os15-c000210"",""os15-c000135"",""os15-c000468"",""os15-c000284"",""os15-c000450""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0017__deterministic_structural__os15-s0017__trial-1.json,[]
18,deterministic_structural,os15-s0018,1,positive,valid,True,False,os15-c000292,"[""os15-c000122"",""os15-c000220"",""os15-c000311"",""os15-c000292"",""os15-c000426""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0018__deterministic_structural__os15-s0018__trial-1.json,[]
19,deterministic_structural,os15-s0019,1,positive,valid,True,False,os15-c000253,"[""os15-c000312"",""os15-c000321"",""os15-c000063"",""os15-c000470"",""os15-c000253""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0019__deterministic_structural__os15-s0019__trial-1.json,[]
20,deterministic_structural,os15-s0020,1,positive,valid,True,False,os15-c000291,"[""os15-c000150"",""os15-c000364"",""os15-c000291"",""os15-c000491"",""os15-c000324""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0020__deterministic_structural__os15-s0020__trial-1.json,[]
21,deterministic_structural,os15-s0021,1,positive,valid,True,False,os15-c000353,"[""os15-c000025"",""os15-c000343"",""os15-c000353"",""os15-c000367"",""os15-c000295""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0021__deterministic_structural__os15-s0021__trial-1.json,[]
22,deterministic_structural,os15-s0022,1,positive,valid,True,False,os15-c000465,"[""os15-c000171"",""os15-c000209"",""os15-c000366"",""os15-c000465"",""os15-c000218""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0022__deterministic_structural__os15-s0022__trial-1.json,[]
23,deterministic_structural,os15-s0023,1,positive,valid,True,False,os15-c000334,"[""os15-c000052"",""os15-c000054"",""os15-c000207"",""os15-c000334"",""os15-c000502""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0023__deterministic_structural__os15-s0023__trial-1.json,[]
24,deterministic_structural,os15-s0024,1,positive,valid,True,False,os15-c000075,"[""os15-c000053"",""os15-c000330"",""os15-c000075"",""os15-c000428"",""os15-c000236""]",3,False,True,0.333333,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0024__deterministic_structural__os15-s0024__trial-1.json,[]
25,deterministic_structural,os15-s0025,1,positive,valid,True,False,os15-c000055,"[""os15-c000452"",""os15-c000055"",""os15-c000152"",""os15-c000293"",""os15-c000112""]",2,False,True,0.5,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0025__deterministic_structural__os15-s0025__trial-1.json,[]
26,deterministic_structural,os15-s0026,1,positive,valid,True,False,os15-c000409,"[""os15-c000203"",""os15-c000362"",""os15-c000481"",""os15-c000409"",""os15-c000084""]",4,False,True,0.25,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0026__deterministic_structural__os15-s0026__trial-1.json,[]
27,deterministic_structural,os15-s0027,1,positive,valid,True,False,os15-c000267,"[""os15-c000432"",""os15-c000020"",""os15-c000064"",""os15-c000153"",""os15-c000267""]",5,False,False,0.2,0,results/owasp-sqli-v15-1-confirmatory-final/owasp-sqli-v15-1-confirmatory-20260823T131208Z/raw/ranking-rows/sequence-0027__deterministic_structural__os15-s0027__trial-1.json,[]
