evaluator,case_key,category,candidate_id,original_case_id,expected_result_loaded_post_run,detected,runtime_or_scanner_state,classification,mapped_alert_count
framework,xss::ox14-c000330,reflected_xss,ox14-c000330,BenchmarkTest02132,vulnerable,True,verified,TP,0
framework,xss::ox14-c000419,reflected_xss,ox14-c000419,BenchmarkTest02586,vulnerable,True,verified,TP,0
framework,xss::ox14-c000382,reflected_xss,ox14-c000382,BenchmarkTest02399,vulnerable,True,verified,TP,0
framework,xss::ox14-c000116,reflected_xss,ox14-c000116,BenchmarkTest00721,vulnerable,True,verified,TP,0
framework,xss::ox14-c000431,reflected_xss,ox14-c000431,BenchmarkTest02598,vulnerable,True,verified,TP,0
framework,xss::ox14-c000200,reflected_xss,ox14-c000200,BenchmarkTest01267,vulnerable,True,verified,TP,0
framework,xss::ox14-c000394,reflected_xss,ox14-c000394,BenchmarkTest02480,vulnerable,True,verified,TP,0
framework,xss::ox14-c000403,reflected_xss,ox14-c000403,BenchmarkTest02489,vulnerable,True,verified,TP,0
framework,xss::ox14-c000104,reflected_xss,ox14-c000104,BenchmarkTest00651,vulnerable,True,verified,TP,0
framework,xss::ox14-c000400,reflected_xss,ox14-c000400,BenchmarkTest02486,vulnerable,True,verified,TP,0
framework,xss::ox14-c000062,reflected_xss,ox14-c000062,BenchmarkTest00395,vulnerable,True,verified,TP,0
framework,xss::ox14-c000421,reflected_xss,ox14-c000421,BenchmarkTest02588,vulnerable,True,verified,TP,0
framework,xss::ox14-c000253,reflected_xss,ox14-c000253,BenchmarkTest01587,vulnerable,True,verified,TP,0
framework,xss::ox14-c000124,reflected_xss,ox14-c000124,BenchmarkTest00729,vulnerable,True,verified,TP,0
framework,xss::ox14-c000386,reflected_xss,ox14-c000386,BenchmarkTest02403,vulnerable,True,verified,TP,0
framework,xss::ox14-c000352,reflected_xss,ox14-c000352,BenchmarkTest02237,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000399,reflected_xss,ox14-c000399,BenchmarkTest02485,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000273,reflected_xss,ox14-c000273,BenchmarkTest01664,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000398,reflected_xss,ox14-c000398,BenchmarkTest02484,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000384,reflected_xss,ox14-c000384,BenchmarkTest02401,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000219,reflected_xss,ox14-c000219,BenchmarkTest01351,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000065,reflected_xss,ox14-c000065,BenchmarkTest00469,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000351,reflected_xss,ox14-c000351,BenchmarkTest02236,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000377,reflected_xss,ox14-c000377,BenchmarkTest02394,non_vulnerable,False,inconclusive,TN,0
framework,xss::ox14-c000261,reflected_xss,ox14-c000261,BenchmarkTest01595,non_vulnerable,False,inconclusive,TN,0
framework,sqli::os15-c000302,boolean_sqli,os15-c000302,BenchmarkTest01726,vulnerable,True,verified,TP,0
framework,sqli::os15-c000477,boolean_sqli,os15-c000477,BenchmarkTest02644,vulnerable,True,verified,TP,0
framework,sqli::os15-c000142,boolean_sqli,os15-c000142,BenchmarkTest00845,vulnerable,True,verified,TP,0
framework,sqli::os15-c000304,boolean_sqli,os15-c000304,BenchmarkTest01728,vulnerable,True,verified,TP,0
