artifact_status,fake_data,model_candidate_id,family,model_identifier,scenario_id,scenario_outcome_class,trial_number,candidate_count,test_budget,valid,provider_failed,timeout,malformed,duplicate_id,unknown_id,omitted_id,validation_errors,parsed_ranking,top_rank_candidate_id,top_rank_is_vulnerable,vulnerable_candidate_rank,top_k_recall,reciprocal_rank,negative_scenario_behavior,latency_ms,estimated_peak_memory_gb,metadata_completeness_score,prompt_version,candidate_input_keys,authority_boundary_preserved
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,1,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,2,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-001,vulnerable,3,4,4,True,False,False,False,False,False,False,[],"[""cal-xss-001-alpha-term"", ""cal-xss-001-bravo-memo"", ""cal-xss-001-cedar-ref"", ""cal-xss-001-delta-line""]",cal-xss-001-alpha-term,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,1,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,2,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-002,vulnerable,3,5,4,True,False,False,False,False,False,False,[],"[""cal-xss-002-atlas-query"", ""cal-xss-002-brook-name"", ""cal-xss-002-cabin-ref"", ""cal-xss-002-dune-kind"", ""cal-xss-002-dune-memo""]",cal-xss-002-atlas-query,False,3,True,0.3333333333333333,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,1,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,2,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-003,vulnerable,3,6,4,True,False,False,False,False,False,False,[],"[""cal-xss-003-ember-memo"", ""cal-xss-003-ember-name"", ""cal-xss-003-fable-search"", ""cal-xss-003-grove-mode"", ""cal-xss-003-grove-page"", ""cal-xss-003-harbor-line""]",cal-xss-003-ember-memo,True,1,True,1.0,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
non_experimental_fake_model_response,True,qwen2_5_7b_instruct_gguf_q4_k_m,Qwen,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,cal-xss-004,vulnerable,1,7,4,True,False,False,False,False,False,False,[],"[""cal-xss-004-iris-search"", ""cal-xss-004-juniper-query"", ""cal-xss-004-krypton-name"", ""cal-xss-004-lagoon-mode"", ""cal-xss-004-lagoon-page"", ""cal-xss-004-lagoon-slot"", ""cal-xss-004-mesa-comment""]",cal-xss-004-iris-search,False,6,False,0.16666666666666666,not_applicable,480,7.0,1.0,llm-candidate-ranking-v1,"[""action_path"", ""candidate_id"", ""editable_input_count"", ""input_type"", ""method"", ""parameter_count"", ""parameter_name"", ""required_input_count"", ""source""]",True
