scenario_id,arm_id,trial_number,rank,candidate_id,action_path,parameter_name,ground_truth_vulnerable,within_top_k,model_identifier,provider,provider_failed,validation_error_count,latency_ms
x13-012,local_qwen,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-012/juno:text,/suite-v13/x13-012/juno,text,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,124849
x13-007,local_qwen,2,5,query:http://127.0.0.1:4395/suite-v13/x13-007/east?ref=sample&view=sample:view,/suite-v13/x13-007/east,view,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,105020
x13-011,local_qwen,5,1,get-form:http://127.0.0.1:4395/suite-v13/x13-011/cobalt:query,/suite-v13/x13-011/cobalt,query,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,87767
x13-007,proprietary_gpt,2,5,query:http://127.0.0.1:4395/suite-v13/x13-007/east?ref=sample&view=sample:view,/suite-v13/x13-007/east,view,False,False,gpt-5.6-luna,,True,1,
x13-022,proprietary_gpt,2,5,query:http://127.0.0.1:4395/suite-v13/x13-022/east?term=sample&page=sample:page,/suite-v13/x13-022/east,page,False,False,gpt-5.6-luna,,True,1,
x13-011,proprietary_gpt,5,5,query:http://127.0.0.1:4395/suite-v13/x13-011/east?line=sample&page=sample:line,/suite-v13/x13-011/east,line,True,False,gpt-5.6-luna,,True,1,
x13-012,local_qwen,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-012/islet:name,/suite-v13/x13-012/islet,name,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,192688
x13-003,local_qwen,1,6,query:http://127.0.0.1:4395/suite-v13/x13-003/west?view=sample&page=sample:view,/suite-v13/x13-003/west,view,False,False,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,118570
x13-018,deterministic_structural,1,4,query:http://127.0.0.1:4395/suite-v13/x13-018/south?ref=sample&page=sample:page,/suite-v13/x13-018/south,page,False,True,deterministic_structural,deterministic,False,0,
x13-021,proprietary_gpt,2,4,get-form:http://127.0.0.1:4395/suite-v13/x13-021/onyx:item,/suite-v13/x13-021/onyx,item,False,True,gpt-5.6-luna,,True,1,
x13-004,proprietary_gpt,2,4,get-form:http://127.0.0.1:4395/suite-v13/x13-004/grove:item,/suite-v13/x13-004/grove,item,False,True,gpt-5.6-luna,,True,1,
x13-019,proprietary_gpt,1,6,query:http://127.0.0.1:4395/suite-v13/x13-019/south?code=sample&view=sample&kind=sample:view,/suite-v13/x13-019/south,view,False,False,gpt-5.6-luna,,True,1,
x13-007,proprietary_gpt,3,4,query:http://127.0.0.1:4395/suite-v13/x13-007/east?ref=sample&view=sample:ref,/suite-v13/x13-007/east,ref,False,True,gpt-5.6-luna,,True,1,
x13-014,local_qwen,4,2,get-form:http://127.0.0.1:4395/suite-v13/x13-014/pearl:name,/suite-v13/x13-014/pearl,name,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,142486
x13-003,local_qwen,4,3,get-form:http://127.0.0.1:4395/suite-v13/x13-003/cabin:mark,/suite-v13/x13-003/cabin,mark,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,73743
x13-014,local_qwen,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-014/raven:memo,/suite-v13/x13-014/raven,memo,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,92997
x13-010,local_qwen,3,4,get-form:http://127.0.0.1:4395/suite-v13/x13-010/zenith:memo,/suite-v13/x13-010/zenith,memo,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,98624
x13-014,local_qwen,3,1,get-form:http://127.0.0.1:4395/suite-v13/x13-014/orbit:search,/suite-v13/x13-014/orbit,search,False,True,Qwen/Qwen2.5-7B-Instruct-GGUF:Q4_K_M,local-llama.cpp,False,0,92997
x13-016,proprietary_gpt,5,5,query:http://127.0.0.1:4395/suite-v13/x13-016/south?page=sample:page,/suite-v13/x13-016/south,page,False,False,gpt-5.6-luna,,True,1,
