scenario_id,scenario_type,candidate_id,position,is_focal_vulnerable
ow14-s0001,positive,ox14-c000348,1,false
ow14-s0001,positive,ox14-c000227,2,true
ow14-s0001,positive,ox14-c000189,3,false
ow14-s0001,positive,ox14-c000236,4,false
ow14-s0001,positive,ox14-c000030,5,false
ow14-s0002,positive,ox14-c000426,1,false
ow14-s0002,positive,ox14-c000083,2,false
ow14-s0002,positive,ox14-c000222,3,true
ow14-s0002,positive,ox14-c000209,4,false
ow14-s0002,positive,ox14-c000341,5,false
ow14-s0003,positive,ox14-c000259,1,false
ow14-s0003,positive,ox14-c000326,2,true
ow14-s0003,positive,ox14-c000184,3,false
ow14-s0003,positive,ox14-c000333,4,false
ow14-s0003,positive,ox14-c000254,5,false
ow14-s0004,positive,ox14-c000055,1,true
ow14-s0004,positive,ox14-c000229,2,false
ow14-s0004,positive,ox14-c000355,3,false
ow14-s0004,positive,ox14-c000278,4,false
ow14-s0004,positive,ox14-c000031,5,false
ow14-s0005,positive,ox14-c000294,1,false
ow14-s0005,positive,ox14-c000204,2,false
ow14-s0005,positive,ox14-c000065,3,false
ow14-s0005,positive,ox14-c000125,4,false
ow14-s0005,positive,ox14-c000098,5,true
ow14-s0006,positive,ox14-c000164,1,false
ow14-s0006,positive,ox14-c000044,2,false
ow14-s0006,positive,ox14-c000334,3,true
ow14-s0006,positive,ox14-c000066,4,false
ow14-s0006,positive,ox14-c000409,5,false
ow14-s0007,positive,ox14-c000208,1,false
ow14-s0007,positive,ox14-c000112,2,false
ow14-s0007,positive,ox14-c000261,3,false
ow14-s0007,positive,ox14-c000432,4,false
ow14-s0007,positive,ox14-c000255,5,true
ow14-s0008,positive,ox14-c000362,1,false
ow14-s0008,positive,ox14-c000310,2,false
ow14-s0008,positive,ox14-c000414,3,false
ow14-s0008,positive,ox14-c000224,4,false
ow14-s0008,positive,ox14-c000173,5,true
ow14-s0009,positive,ox14-c000402,1,false
ow14-s0009,positive,ox14-c000210,2,false
ow14-s0009,positive,ox14-c000063,3,true
ow14-s0009,positive,ox14-c000391,4,false
ow14-s0009,positive,ox14-c000036,5,false
ow14-s0010,positive,ox14-c000225,1,false
ow14-s0010,positive,ox14-c000320,2,false
ow14-s0010,positive,ox14-c000252,3,false
ow14-s0010,positive,ox14-c000349,4,true
ow14-s0010,positive,ox14-c000067,5,false
ow14-s0011,positive,ox14-c000329,1,true
ow14-s0011,positive,ox14-c000369,2,false
ow14-s0011,positive,ox14-c000165,3,false
ow14-s0011,positive,ox14-c000140,4,false
ow14-s0011,positive,ox14-c000090,5,false
ow14-s0012,positive,ox14-c000244,1,true
ow14-s0012,positive,ox14-c000072,2,false
ow14-s0012,positive,ox14-c000265,3,false
ow14-s0012,positive,ox14-c000081,4,false
ow14-s0012,positive,ox14-c000389,5,false
ow14-s0013,positive,ox14-c000323,1,false
ow14-s0013,positive,ox14-c000246,2,false
ow14-s0013,positive,ox14-c000380,3,true
ow14-s0013,positive,ox14-c000211,4,false
ow14-s0013,positive,ox14-c000046,5,false
ow14-s0014,positive,ox14-c000025,1,false
ow14-s0014,positive,ox14-c000108,2,false
ow14-s0014,positive,ox14-c000181,3,false
ow14-s0014,positive,ox14-c000068,4,true
ow14-s0014,positive,ox14-c000121,5,false
ow14-s0015,positive,ox14-c000197,1,false
ow14-s0015,positive,ox14-c000012,2,false
ow14-s0015,positive,ox14-c000415,3,true
ow14-s0015,positive,ox14-c000058,4,false
